Id,AccountId,TeamMemberRole
01MPx00000OHIDDMA5,0016g00001AO4dGAAT,PI CSM
01MPx00000OHIDFMA5,0016g00001AO4paAAD,PI CSM
01MPx00000OHIDGMA5,0014L00000k3dLSQAY,PI CSM
01MPx00000OHIDHMA5,0016g00001ANthHAAT,E&I CSM
01MPx00000OHIDIMA5,0014L00000Nb6ihQAB,PI CSM
01MPx00000OHIDJMA5,0016g00001AOJOrAAP,PI CSM
01MPx00000OHIDKMA5,0016g00001AO4RgAAL,PI CSM
01MPx00000OHIDLMA5,001Tm00000CHDpxIAH,E&I CSM
01MPx00000OHIDNMA5,0016g00001AO4hzAAD,PI CSM
01MPx00000OHIDOMA5,0016g00001AO4nTAAT,PI CSM
01MPx00000OHIDPMA5,0014L00000XOy9eQAD,PI CSM
01MPx00000OHIDQMA5,0016g00001AO4wZAAT,PI CSM
01MPx00000OHIDSMA5,0014L00000OFKJEQA5,PI CSM
01MPx00000OHIDUMA5,0016g00001AO4GWAA1,PI CSM
01MPx00000OHIDVMA5,001Px00000VvpdPIAR,Law.com CSM
01MPx00000OHIDWMA5,001Px00000XsUt4IAF,Law.com CSM
01MPx00000OHIDXMA5,0016g00001ANqGzAAL,E&I CSM
01MPx00000OHIDYMA5,0016g00001AO4eZAAT,PI CSM
01MPx00000OHIDZMA5,0016g00001AO4YlAAL,E&I CSM
01MPx00000OHIDaMAP,001Px00000XsUt1IAF,Law.com CSM
01MPx00000OHIDbMAP,0016g00001AO53wAAD,E&I CSM
01MPx00000OHIDcMAP,0016g00001AO4SRAA1,PI CSM
01MPx00000OHIDdMAP,0016g00001AO4fnAAD,PI CSM
01MPx00000OHIDeMAP,0016g00001AO4S9AAL,PI CSM
01MPx00000OHIDfMAP,001Px00000XsUt3IAF,Law.com CSM
01MPx00000OHIDhMAP,0014L00000f4v2nQAA,E&I CSM
01MPx00000OHIDjMAP,001Tm00000MEPgKIAX,Law.com CSM
01MPx00000OHIDkMAP,0016g00001AO4n5AAD,PI CSM
01MPx00000OHIDlMAP,0016g00001AO4bLAAT,PI CSM
01MPx00000OHIDoMAP,0016g00001AO4L8AAL,PI CSM
01MPx00000OHIDqMAP,0016g00001AO4mxAAD,PI CSM
01MPx00000OHIDrMAP,0016g00001AO4odAAD,PI CSM
01MPx00000OHIDsMAP,0016g00001AO4yhAAD,E&I CSM
01MPx00000OHIDtMAP,001Tm000008MHYiIAO,PI CSM
01MPx00000OHIDvMAP,001Px00000VvmKfIAJ,Law.com CSM
01MPx00000OHIDwMAP,001Px00000Vvk1DIAR,Law.com CSM
01MPx00000OHIDxMAP,0016g00001AO4hiAAD,PI CSM
01MPx00000OHIDyMAP,001Px00000VvpZYIAZ,PI CSM
01MPx00000OHIDzMAP,001Px00000VvXPnIAN,E&I CSM
01MPx00000OHIQzMAP,0016g00001AOCUIAA5,PI CSM
01MPx00000OHIR0MAP,0016g00001AOCgRAAX,PI CSM
01MPx00000OHIR1MAP,0016g00001AOCXsAAP,PI CSM
01MPx00000OHIR2MAP,0016g00001AOD7SAAX,PI CSM
01MPx00000OHIR3MAP,0016g00001AOBHvAAP,PI CSM
01MPx00000OHIR4MAP,001Px00000VvZRrIAN,Law.com CSM
01MPx00000OHIR5MAP,001Px00000UndWsIAJ,E&I CSM
01MPx00000OHIR6MAP,0016g00001AOCVMAA5,PI CSM
01MPx00000OHIR7MAP,001Px00000Xsi52IAB,Law.com CSM
01MPx00000OHIR8MAP,0014L00000npO9JQAU,PI CSM
01MPx00000OHIRAMA5,001Tm00000BrlVZIAZ,E&I CSM
01MPx00000OHIRCMA5,0016g00001AODFUAA5,PI CSM
01MPx00000OHIREMA5,001Px00000VvavNIAR,Law.com CSM
01MPx00000OHIRFMA5,001Px00000WkhfRIAR,Law.com CSM
01MPx00000OHIRGMA5,0016g00001AOCCfAAP,PI CSM
