AccountId,UserId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
001Px00000VvtMTIAZ,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvtMVIAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VvtN9IAJ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VvtRrIAJ,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvtXwIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvtYXIAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000Vvu2BIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvuLmIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvuLqIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvuM0IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvuMDIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvuS2IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvuSYIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvuSgIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvufmIAB,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000Vvv3QIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvv4CIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvErIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvF9IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvNCIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvWTIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvWlIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvXVIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvZZIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvviLIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvibIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvilIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvvjyIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvw3pIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvwAHIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvwD1IAJ,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VvwD6IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvwGhIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvwVZIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvwVcIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvwWvIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvwX4IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvwkDIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvwnmIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvx1VIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvx3NIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvx3OIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvx3VIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vvx3gIAB,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VvxJHIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvxJJIAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VvxJKIAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VvxR3IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvxStIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvxceIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvyCDIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VvynYIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vw0I0IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vw2rKIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vw73CIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwJUBIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwJUDIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwJUHIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwJUTIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwJUXIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwK10IAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwMKzIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwMLxIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwMUTIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwMiCIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwMijIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwMilIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwMwRIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwMxYIAV,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VwOt2IAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwOt4IAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwOtDIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwP1tIAF,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VwPS9IAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwSCaIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwWE3IAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwWENIA3,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VwWF9IAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwWLpIAN,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VwWPJIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwWPUIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwWQaIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwWSbIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwWSkIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwY3jIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwYKVIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwYVBIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwYpcIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwZk5IAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwbgHIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vwc72IAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vwe5OIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VweN9IAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vwgt5IAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vwh9wIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwhJiIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwiKIIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VwiLGIAZ,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VxYQGIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Vy2d8IAB,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000Vy4obIAB,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000Vy9HlIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VyAtuIAF,005Px00000BnqaDIAR,E&I CSM,Edit,Read,None,Edit
001Px00000VyEkoIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VyIdNIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VyKoEIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VyKoFIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VyMWIIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VyNGIIA3,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000VyNGgIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VyNGiIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000VyPsaIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000W0KVoIAN,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
